연번,업체코드,분야,업체명,소재지,대표자,선정년도,23년배정인원,관할청
75,219860037,중견기업부설연구소,동화약품(주)연구소,경기도 용인시 기흥구 탑실로 35번길 71,"유준하, 한종현",1987,미신청,경인
76,219900029,중견기업부설연구소,동진쎄미켐부설제2연구소,경기도 화성시 양감면 작은돌 래길 35,"이부섭,이준혁",1989,2,경인
77,220170167,중견기업부설연구소,동아제약(주) 연구소,"경기도 용인시 기흥구 금화로 105번길 21 제품동 3층, 205호, 지하1층 서고,창고/신약동 111호 일부",최호진,2017,1,경인
78,219820019,중견기업부설연구소,동아에스티(주)연구소,경기도 용인시 기흥구 금화로 105번길 21 (상갈동),김민영,1982,2,경인
79,219910007,중견기업부설연구소,동명기술공단종합건축사사무소부 설연구소,"서울특별시 동대문구 왕산로 117, 1003호 (제기동)",신완수,1991,2,서울
80,219900048,중견기업부설연구소,동국제약중앙연구소,"경기도 수원시 영통구 광교로 147  4,9층",송준호,1990,1,경인
81,220170245,중견기업부설연구소,동광제약(주)중앙연구소,서울특별시 중구 퇴계로 97 고 려대연각타워 7층(충무로1가),장만식,2017,1,서울
82,220090010,중견기업부설연구소,덴티움부설연구소,"경기도 수원시 영통구 창룡대 로256번길 76, 지식산업센터 10층",서승우,2009,2,경인
83,220130198,중견기업부설연구소,대화제약 판교연구소,"경기도 성남시 분당구 대왕판 교로 700 - 0 (삼평동,코리아 바 이오 파크)C동 9층","노병태, 김은석",2013,1,경인
84,219940131,중견기업부설연구소,대원제약중앙연구소,"서울특별시 광진구 천호대로 520 (군자동,대원제약 중앙연 구소)","백승호,백승열",1994,2,서울
85,220020171,중견기업부설연구소,대원제약서울연구소,"서울특별시 성동구 천호대로 386 지하1층, 8층","백승호,백승열",2002,1,서울
86,220180296,중견기업부설연구소,대원제약(주) 기술연구소,"경기도 화성시 향남읍 제약공 단1길 24, 기술연구소",백승호,2018,1,경인
87,219860027,중견기업부설연구소,대웅바이오연구소서울분소,"서울특별시 강남구 봉은사로 114길 12 (대웅제약빌딩5층 동 편 ,삼성동)",윤재춘,1986,1,서울
88,220010500,중견기업부설연구소,대웅바이오연구소,경기도 용인시 처인구 포곡읍 두계로 56,윤재춘,2001,2,경인
89,220200225,중견기업부설연구소,대양전기공업(주) 기업부설연구소 (2연구소),부산광역시 사하구 장평로 245 기술관 3층,서영우,2020,1,부산
90,220200226,중견기업부설연구소,대양전기공업(주) 기업부설연구소 (1연구소),부산광역시 강서구 녹산산단 261로14번길 45-16(송정동),서영우,2020,1,부산
91,219990081,중견기업부설연구소,다원시스기술연구소,경기도 안산시 단원구 시화호 수로 485(성곡동) 1층,박선순,1999,미신청,인천
92,220160043,중견기업부설연구소,나이스피앤아이(주) 기업부설연구 소,"서울특별시 영등포구 국회대 로70길 19 4층 405호,412호(여 의도동,대하빌딩)",김기형,2016,1,서울
93,220200396,중견기업부설연구소,광성기업(주)부설연구소,"경기도 용인시 수지구 광교중 앙로 338 광교우미뉴브 지식 산업센터 A동 721, 722호(상현 동)","성필호, 성민수",2020,미신청,경인
94,220060032,중견기업부설연구소,고영테크놀러지R&DCenter,"경기도 용인시 수지구 포은대 로59번길 18 고영테크놀러지 R&DCenter 2층,3층,4층(상현 동)",고광일,2006,1,경인
95,220210315,중견기업부설연구소,계양전기(주) 중앙연구소,"경기도 안산시 단원구 산단로 9 계양전기 본관동 2,3층",임영환,2021,1,인천
96,220100153,중견기업부설연구소,경인양행중앙연구소,서울특별시 강서구 양천로 75 길 69,"김흥준,조성용",2010,1,서울
97,220160158,중견기업부설연구소,경동제약 R&D Center,경기도 화성시 양감면 개월안 길 123,"류기성, 김경훈",2016,1,경인
98,220030160,중견기업부설연구소,간삼건축종합건축사사무소부설건 축연구센터,"서울특별시 중구 동호로20다 길 16, 7층 (신당동)",김태집,2003,1,서울
99,220180457,대기업부설연구소,(주)카카오브레인 인공지능연구소,경기도 성남시 분당구 판교역 로 152 알파돔타워 12층(백현 동),김일두,2018,배정제한,경인
100,220130148,중견기업부설연구소,JW중외제약(주)제제연구센터,"서울특별시 서초구 남부순환 로 2477 - 0 (서초동, JW타워 지 하1층)",신영섭,2013,1,서울
101,220200401,중견기업부설연구소,(주)휴니드테크놀러지스 기술연구 소,인천광역시 연수구 벤처로 87 3층,신종석,2020,1,인천
102,220170067,중견기업부설연구소,(주)행림종합건축사사무소부설기 술연,서울특별시 송파구 송파대로 201 송파테라타워2 A동 16층 (문정동),"한규철, 이용호, 임동건, 박철홍",2017,1,서울
103,220180248,중견기업부설연구소,(주)한솔케미칼 연구소,전라북도 완주군 봉동읍 과학 로 873,박원환,2018,1,전북
104,220180417,중견기업부설연구소,(주)한독 중앙연구소,"서울특별시 강서구 마곡중앙 로 168, (762-6) (마곡동)","김영진, 백진기",2018,1,서울
105,220010379,대기업부설연구소,LG전자서초연구소,"서울특별시 서초구 양재대로 11길 19 서초R&D캠퍼스1~25 층,지하 1~지하5층(양재동)","권봉석, 배두용",2001,배정제한,서울
106,220180290,중견기업부설연구소,(주)필옵틱스 레이저&광학연구소,"경기도 오산시 지곶중앙로 1- 19, 3F, 4F 5F(전부일부)",한기수,2018,1,경인
107,220220249,중견기업부설연구소,(주)피아이첨단소재 R&D Center,"충청북도 진천군 이월면 고등 1길 27, 피아이첨단소재 연구 소",김태림,2022,5,충북
108,220210208,중견기업부설연구소,(주)프로텍 부설연구소,"경기도 안양시 동안구 시민대 로327번길 11-14, 7층(관양동)",최승환,2021,미신청,경인
109,220140313,중견기업부설연구소,(주)풀무원풀무원기술원,"충청북도 청주시 흥덕구 오송 읍 오송생명10로 29, 풀무원기 술원",이효율,2014,1,충북
110,220200440,중견기업부설연구소,(주)평화엔지니어링부설 기술연구 소,경기도 안양시 동안구 학의로 250 관양두산벤처다임 10층 1001~1002호 (관양동),권재원,2020,미신청,경인
111,220170029,중견기업부설연구소,(주)파인디지털 부설연구소,"경기도 성남시 분당구 성남대 로925번길 41, 8층(야탑동, 파 인벤처빌딩)",김용훈,2017,1,경인
112,220160157,대기업부설연구소,라인플러스(주)기술1연구소,"경기도 성남시 분당구 황새울 로360번길 42 19층(서현동,AK 플라자)",이은정,2016,배정제한,경인
113,220190238,중견기업부설연구소,(주)티씨케이 연구소,경기도 안성시 미양면 개정산 업단지로 71 TCK개정공장 1층 2층,"김영희, 신히데 오",2019,미신청,경인
114,220140346,중견기업부설연구소,"(주)크래프톤(KRAFTON, Inc.) PUBG Research Center","서울특별시 서초구 서초대로 38길 12, 타워 원 7층, 8층 (서 초동, 마제스타시티)",김창한,2014,1,서울
115,220080191,중견기업부설연구소,"(주)크래프톤(KRAFTON, Inc.) Game Research Center","서울특별시 강남구 테헤란로 231, 이스트타워 32층(역삼동)",김창한,2008,1,서울
116,220150385,중견기업부설연구소,"(주)크래프톤(KRAFTON, Inc.) AI Research Center","서울특별시 강남구 테헤란로 231, 이스트타워 29층(역삼동)",김창한,2015,1,서울
117,220220206,중견기업부설연구소,(주)코텍 기술연구소,"인천광역시 연수구 벤처로24 번길 2,3층(송도동)",김영달,2022,2,인천
118,220160309,중견기업부설연구소,(주)코빗 기업부설연구소,"서울특별시 강남구 테헤란로5 길 7, KG타워 5층 (역삼동)",오세진,2016,미신청,서울
119,220210209,중견기업부설연구소,(주)코맥스 부설연구소,"경기도 성남시 중원구 둔촌대 로 494, J동 5층(상대원동)",변우석,2021,미신청,경인
120,220220326,중견기업부설연구소,(주)케이씨텍부설기술제2연구소,경기도 화성시 동탄첨단산업1 로 50 케이씨텍 R&D센터 1~3 층(영천동),최동규,2022,1,경인
121,220160243,중견기업부설연구소,(주)컴투스 부설연구소,"서울특별시 금천구 가산디지 털1로 131, A동 7층, 12~14층, 22~24층 (가산동, BYC HIGHCITY), C동 14층","송재준, 이주환",2016,2,서울
122,220000273,대기업부설연구소,삼성전자디지털영상연구소,"129 디지털영상연구소 B4층, 3~4층, 7~9층, 14층, 16~18층, 20~21층, 24~25층, CS환경센터","한종희, 경계현",2000,배정제한,경인
123,220180048,중견기업부설연구소,(주)조이시티 멀티미디어연구소,"경기도 성남시 분당구 분당로 55, 10층 (서현동, 퍼스트타워)",조성원,2018,1,경인
124,219930032,대기업부설연구소,삼성전자무선연구소,"129 정보통신(연)지하 1,1,17,20,22,23층,21C동1층,모 바일(연)지하1~3층,지상3층,B","김기남,김현석, 고동진",1993,배정제한,경인
125,220170321,중견기업부설연구소,(주)제이엠씨 화학연구소,울산광역시 울주군 온산읍 이 진로 71,정원식,2017,미신청,부산
126,220200253,중견기업부설연구소,(주)일진부설기술연구소,서울특별시 강남구 삼성로 527 (주)일진 샤시연구소,이경수,2020,미신청,서울
127,220210144,중견기업부설연구소,(주)이엠텍 R&D연구소,경상남도 창원시 성산구 창원 대로1144번길 40(성주동),정승규,2021,1,경남
128,220120126,중견기업부설연구소,(주)이엔에프테크놀로지 중앙연구 소,경기도 용인시 기흥구 탑실로 35번길 14,"지용석,김정수",2012,1,경인
129,220210276,중견기업부설연구소,(주)이녹스첨단소재 연구소,충청남도 아산시 둔포면 아산 밸리로 171,"장경호,김필영",2021,미신청,대전.충남
130,220200160,중견기업부설연구소,(주)이감 기업부설연구소,"서울특별시 서초구 강남대로 16길 3 6층(양재동,아산벤처타 워)","조성진, 김봉소",2020,1,서울
131,219940060,중견기업부설연구소,(주)유유제약 중앙연구소,"경기도 수원시 영통구 대학4 로 17, 501호~506호, 523호(이 의동)",유원상,1994,1,경인
132,220190038,중견기업부설연구소,(주)웹젠 기술연구소,"경기도 성남시 분당구 판교로 242, B동 2층 (삼평동, 판교디 지털센터)",김태영,2019,1,경인
133,220150285,중견기업부설연구소,(주)원익아이피에스 부설 반도체연 구소,"경기도 평택시 진위면 진위산 단로 75 A동 2,3,5,6,7층",이현덕,2015,1,경인
134,220150286,중견기업부설연구소,(주)원익아이피에스 Display연구소,"경기도 화성시 동탄대로47번 길 18 원익아이피에스 동탄사 업장(장지동) 3F, 4F",이현덕,2015,1,경인
135,220150236,중견기업부설연구소,(주)원익머트리얼즈 부설연구소,충청북도 청주시 청원구 오창 읍 양청3길 30,한정욱,2015,1,충북
136,220200011,중견기업부설연구소,(주)원익로보틱스 로봇기술연구소,경기도 성남시 분당구 판교로 255번길 20 원익빌딩 5층(삼평 동),장경석,2020,1,경인
137,220160237,중견기업부설연구소,(주)오스템 정보시스템연구소,"서울특별시 강서구 마곡중앙 12로 3, 연구동A 3층  사무동 B 6층(마곡동)",엄태관,2016,2,서울
138,220200254,중견기업부설연구소,(주)연합인포맥스 금융공학연구소,"서울특별시 종로구 율곡로2길 25 10층 (수송동, 연합뉴스빌 딩)","최기억, 성기홍",2020,1,서울
139,220180275,중견기업부설연구소,(주)엘엠에스 디스플레이사업부 연 구소,"경기도 평택시 진위면 진위산 단로 53-73 1층, 4층",조성민,2018,1,경인
140,220150377,중견기업부설연구소,(주)엘앤에프 제1기술연구소,"대구광역시 달서구 달서대로 91길 120, 1,2층 (호산동)",최수안,2015,1,대구.경북
141,220000139,중견기업부설연구소,(주)엔에이치엔다이퀘스트 기술연 구소,"서울특별시 구로구 디지털로 30길 31 501호, 1011호 (구로 동, 코오롱디지털타워빌란트 2차)",강락근,2000,2,서울
142,220210210,중견기업부설연구소,(주)엔씨소프트 제3 기업부설연구 소,"경기도 성남시 분당구 판교역 로 145, 알파리움타워 2동 9층 ~12층(백현동, 알파리움2단 지)",김택진,2021,1,경인
143,220200439,중견기업부설연구소,(주)엔씨소프트 제2 기업부설연구 소,"경기도 성남시 분당구 대왕판 교로606번길 10 알파리움타워 1동 6-7층 엔씨소프트 (백현동, 알파리움1단지)",김택진,2020,1,경인
144,220220314,중견기업부설연구소,(주)에프에스티기업부설연구소,"경기도 화성시 동탄산단6길 15-23 (주)에프에스티 301호 기업부설연구소 A,B",유장동,2022,2,경인
145,220210362,중견기업부설연구소,(주)에이치엘클레무브 기업부설연 구소,"경기도 성남시 분당구 판교로 255번길 21 H동 2층, H동 5층",윤팔주,2021,2,경인
146,220220361,중견기업부설연구소,(주)에이치비테크놀러지 부설연구 소,"충청남도 아산시 음봉면 산동 로 사무동 2,3층",문성준,2022,2,대전.충남
147,220080010,중견기업부설연구소,(주)에이앤아이 미래기술연구소,경기도 수원시 권선구 산업로 156번길 197-45 4층 (고색동),박병해,2008,1,경인
148,220200135,중견기업부설연구소,(주)에이아이스페라 기업부설연구 소,"서울특별시 성동구 연무장5가 길 7 더블유동 701,702,703,704호 (성수동2 가)",강병탁,2020,2,서울
149,220100102,중견기업부설연구소,(주)에이아이매틱스 부설연구소,"서울특별시 영등포구 양산로 57-5, 이노플렉스  12층",KIM ANDREW,2010,1,서울
150,220190047,중견기업부설연구소,(주)에이아이매틱스 AI연구소,"경기도 성남시 분당구 황새울 로 314, 유니퀘스트빌딩 501호 (서현동)",KIM ANDREW(앤 드류김),2019,1,경인
